Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Ticker
2021-01-06 00:00:00-05:00,124.6134301582258,129.00031801822647,123.7871946724515,126.12818145751953,6847500,0,0,0,ARKK
2021-01-07 00:00:00-05:00,129.01017278299216,136.34788824279514,128.98066571077266,136.11183166503906,8145100,0,0,0,ARKK
2021-01-08 00:00:00-05:00,139.70198649117683,143.25281561766406,137.00689240062084,140.1446075439453,12830300,0,0,0,ARKK
2021-01-11 00:00:00-05:00,137.95116232626873,138.3249385492537,134.55771427612905,135.95443725585938,8217800,0,0,0,ARKK
2021-01-12 00:00:00-05:00,137.8823106857794,139.33806289934418,136.7609969588722,138.67904663085938,6032000,0,0,0,ARKK
2021-01-13 00:00:00-05:00,139.60361368749642,141.14788697212526,138.19706006678464,139.39706420898438,5182100,0,0,0,ARKK
2021-01-14 00:00:00-05:00,141.01216590249214,145.03315734158605,140.43970469160524,142.8987274169922,7691100,0,0,0,ARKK
2021-01-15 00:00:00-05:00,144.4626459899885,145.5839596260663,139.35771298592724,139.58395385742188,9489400,0,0,0,ARKK
2021-01-19 00:00:00-05:00,142.9774190384522,143.82332346280046,141.7479076663579,143.73480224609375,7212000,0,0,0,ARKK
2021-01-20 00:00:00-05:00,146.5115242608269,147.3446412607722,144.3052928453634,144.6987305,7964400,0,0,0,ARKK
2021-01-21 00:00:00-05:00,145.9872457097766,145.9872457097766,142.17083799403522,142.43641662597656,7291700,0,0,0,ARKK
2021-01-22 00:00:00-05:00,141.7380662466506,143.77412912016047,141.53150174795815,143.68560791015625,5714800,0,0,0,ARKK
2021-01-25 00:00:00-05:00,146.12691672212287,147.39381459914307,140.58722711401163,144.26593017578125,8570800,0,0,0,ARKK
2021-01-26 00:00:00-05:00,144.8364390270825,144.92496024341904,139.3970819403764,139.50527954101562,8106400,0,0,0,ARKK
2021-01-27 00:00:00-05:00,136.78460747855712,140.1642928138882,132.9544365123143,136.0823211669922,10003900,0,0,0,ARKK
2021-01-28 00:00:00-05:00,136.29871431171796,139.51510512372178,135.8757546124474,138.06919860839844,5865400,0,0,0,ARKK
2021-01-29 00:00:00-05:00,137.56755735562538,138.8659134501307,132.83640039770606,135.18722534179688,7195500,0,0,0,ARKK
2021-02-01 00:00:00-05:00,137.6855758434119,140.45936027096286,136.14131760512032,140.2823028564453,7828500,0,0,0,ARKK
2021-02-02 00:00:00-05:00,142.91839556117327,145.52495349632719,142.55445001289465,144.48233032226562,7960800,0,0,0,ARKK
2021-02-03 00:00:00-05:00,146.19381740822382,146.26266223697505,143.03642576461672,143.71511840820312,6504200,0,0,0,ARKK
2021-02-04 00:00:00-05:00,145.5052822,146.06594661162325,144.50791020797433,145.9184112548828,5259900,0,0,0,ARKK
2021-02-05 00:00:00-05:00,146.36102258609426,147.2954481368117,145.0036373597513,147.0102081298828,5591900,0,0,0,ARKK
